state_id,drug,n_samples,spearman_rho,p_value,q_value
A1_L1_1,Ralimetinib (LY2228820),42,-0.1344,0.3962739769468008,0.7190731676717509
A1_L1_1,JNJ-28312141,316,-0.1343,0.01691623024906372,0.14369270161307807
A3_L1_7,Cediranib (AZD2171),454,-0.1342,0.0041772745000305,0.059001042024651396
A1_L1_9,p38 MAP Kinase Inhibitor,85,-0.1342,0.22076564931596696,0.5610749910340974
A1_L1_5,Entrectinib,215,-0.1335,0.05065637212554733,0.26753565886486597
A1_L1_7,Regorafenib (BAY 73-4506),450,-0.1334,0.0045967831508977935,0.06372521308279913
A1_L1_7,Sunitinib,488,-0.1333,0.003170054806261895,0.048649355937682555
A2_L1_9,Artemisinin,196,-0.1332,0.06271228667540409,0.2981719151744673
A0_L1_4,Artemisinin,196,-0.1331,0.06287845263828905,0.29873287843478324
A1_L1_3,Metformin,43,-0.133,0.39512441160891876,0.7187801866024813
A0_L1_2,Staurosporine,89,-0.1328,0.21490074794055458,0.5530861922920043
A0_L1_4,BI-2536,110,-0.1326,0.16726351018508467,0.49171823762329303
A1_basin_edge_0,Metformin,43,-0.1321,0.39857321084372965,0.7196179023314977
A0_L1_13,Perhexiline maleate,37,-0.1321,0.4359212555994876,0.7464835646714181
A1_L1_6,Crenolanib,446,-0.1319,0.005262880561747565,0.07017174082330087
A2_L1_9,Indisulam,117,-0.1318,0.15647556151283817,0.4785488489632829
A2_L1_9,STO609,415,-0.1318,0.007187722418862214,0.08755182514134721
A0_L1_11,Vemurafenib (PLX-4032),358,-0.1315,0.01278953646444853,0.12255815468250524
A0_L1_13,PHA-665752,452,-0.1315,0.005094317923451624,0.06836530546623393
A0_L1_11,Olaparib,148,-0.1314,0.1114661134217928,0.4035960367378731
A3_L1_3,NVP-TAE684,451,-0.1311,0.00529211168937118,0.0704100696869127
A0_L1_2,SNS-032 (BMS-387032),458,-0.1308,0.005067919611067724,0.06836530546623393
A1_L1_7,SU11274,402,-0.1308,0.008626872667970457,0.09970066200287259
A1_L1_6,PI-103,452,-0.1308,0.005363197470193148,0.0709995730283095
A1_L1_7,LY-333531,415,-0.1307,0.007689889801281972,0.09168714763066967
A0_L1_2,AKT Inhibitor IV,83,-0.1305,0.2397992967161198,0.5825844982915136
A1_L1_7,Palbociclib,295,-0.1303,0.025275585190869,0.1822193350969626
A2_L1_0,Crenolanib,446,-0.1301,0.005924965291447661,0.07589831571689153
A1_basin_edge_0,Volasertib (BI-6727),349,-0.1301,0.015023110385844309,0.13382655803482
A0_L1_11,KW-2449,449,-0.13,0.005806597764357957,0.0750018877896236
A1_L1_8,Sorafenib,494,-0.1298,0.0038592650059176793,0.0557633600445505
A2_L1_9,BI-2536,110,-0.1295,0.17739881040494537,0.503714404969272
A1_L1_4,Lovastatin,134,-0.1295,0.1358336106293343,0.4459259911037777
A1_L1_6,Azacytidine,367,-0.1294,0.01309623925563077,0.12360862444116152
A2_L1_0,RAF265 (CHIR-265),450,-0.1294,0.005964529211294349,0.07624758991757724
A1_L1_8,Ranolazine,45,-0.1292,0.39761218108723995,0.7193954853104684
A1_L1_0,LY294002,86,-0.1292,0.2357518961185389,0.5769809497772539
A3_L1_10,Pelitinib (EKB-569),452,-0.1291,0.005984506450344196,0.0763455555393704
A1_L1_10,Vandetanib (ZD6474),481,-0.129,0.00460466055824097,0.06372521308279913
A0_L1_2,PRT062607,447,-0.129,0.006307188866673932,0.07980524688444568
A1_L1_7,A-674563,461,-0.129,0.0055403244740424165,0.07292996122943309
A2_L1_0,NF-kB Activation Inhibitor,441,-0.1289,0.006718657279030654,0.08347830687372755
A0_L1_8,Ruxolitinib (INCB018424),449,-0.1286,0.006361520899181465,0.0801655072661079
A2_L1_0,Palbociclib,295,-0.1284,0.02741875276054081,0.19124353184678802
A2_L1_12,BI-2536,110,-0.1283,0.18160234380204787,0.5074062783112648
A0_L1_4,S31-201,403,-0.1278,0.01024484691333695,0.11089538247835112
A3_L1_8,SB-202190,85,-0.1277,0.24432418585953436,0.5880473417426682
A2_L1_12,SB-202190,85,-0.1274,0.24537682215008297,0.5888140234063517
A1_L1_7,Pelitinib (EKB-569),452,-0.1271,0.006804646935788044,0.08437762200377175
A2_L1_0,Ralimetinib (LY2228820),42,-0.1271,0.4223555400062001,0.737427301616007
A3_L1_13,Perhexiline maleate,37,-0.1268,0.45441784873229074,0.7576102042742621
A1_L1_6,RAF265 (CHIR-265),450,-0.1267,0.007130822655279537,0.08737371632951212
A3_L1_8,Ruxolitinib (INCB018424),449,-0.1267,0.0071702885693760935,0.08751139592545626
A1_L1_6,AGI-6780,297,-0.1267,0.028993766632271014,0.1964604952132025
A1_L1_0,Entospletinib (GS-9973),313,-0.1267,0.024954168628395137,0.18032149824714433
A1_L1_5,Lenalidomide,265,-0.1266,0.039465689586989046,0.23348022465585122
A0_L1_6,Go6976,85,-0.1265,0.2484593934757533,0.5906626685389841
A1_L1_14,OTX-015,292,-0.1265,0.03071318550197776,0.20236105219156442
A0_L1_2,Birinapant,86,-0.1264,0.24612636222856005,0.5890413278957513
A2_L1_4,Indisulam,117,-0.1262,0.17530389199708854,0.5012720853771546
A0_L1_6,Tandutinib (MLN518),83,-0.1259,0.25666858729640013,0.5987796087467663
A0_L1_8,JNK Inhibitor II,82,-0.1258,0.26028777158956495,0.6005420668131043
A0_L1_11,AT7519,446,-0.1258,0.007803661564022627,0.09286507043558596
A1_L1_7,Venetoclax,367,-0.1258,0.015862441000410035,0.13910485742933834
A0_L1_2,YM-155,459,-0.1257,0.007019042675858259,0.08642382562462787
A2_L1_0,Sunitinib,488,-0.1255,0.005504610483845362,0.0726140106379601
A1_L1_16,AKT Inhibitor IV,83,-0.1254,0.2585941721111175,0.5991688899460718
