group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
A1_basin_edge_0,NPM1,18.484966,1.2612512,2.7286559612679636e-76,2.0464919709509726e-73,0.8863109048723898,0.7589197767319689
A1_basin_edge_0,YBX1,16.639427,1.0140462,3.610584737340367e-62,2.16635084240422e-59,0.9195668986852281,0.8251340702637627
A1_basin_edge_0,HSPD1,16.462168,1.5274929,6.859829796768741e-61,3.42991489838437e-58,0.6705336426914154,0.46101017839553465
A1_basin_edge_0,YWHAE,14.664261,1.2926222,1.0919960236150742e-48,4.094985088556529e-46,0.6705336426914154,0.4805461311152457
A1_basin_edge_0,HIST1H4C,14.414421,1.3865176,4.1994359766072863e-47,1.3998119922024286e-44,0.6898685228151585,0.5151855094670023
A1_basin_edge_0,HSP90AA1,13.689645,1.0029957,1.170795257922888e-42,3.193077976153331e-40,0.839907192575406,0.7217905220531903
A1_basin_edge_0,TUBB,13.653278,1.4851453,1.9299749055978813e-42,4.8249372639947034e-40,0.5251353441608662,0.3152019262339937
A1_basin_edge_0,GAPDH,13.359888,1.1179926,1.0371986858301354e-40,2.393535428838774e-38,0.7950502706883217,0.6464102002845573
A1_basin_edge_0,STMN1,12.963487,1.4538286,1.9708071725817538e-38,4.2231582269609006e-36,0.5003866976024749,0.2890171828827843
A1_basin_edge_0,HMGB1,12.913693,0.8574935,3.7678416832268047e-38,7.53568336645361e-36,0.8368136117556071,0.756429900404947
A1_basin_edge_0,NCL,12.4611,0.9427545,1.216812243336312e-35,2.0280204055605198e-33,0.7548337200309359,0.6417040604137025
A1_basin_edge_0,PAICS,12.307551,1.5541269,8.24877435956704e-35,1.2373161539350558e-32,0.39984532095901004,0.2044161103206742
A1_basin_edge_0,SOX4,11.893916,1.4513988,1.2729462755734908e-32,1.818494679390701e-30,0.42846094354215003,0.24184633906096092
A1_basin_edge_0,RPSA,11.378741,0.718941,5.336444967826298e-30,6.403733961391557e-28,0.9288476411446249,0.8626463828390062
A1_basin_edge_0,RPL17,11.340866,0.50195915,8.232531528970026e-30,9.499074841119261e-28,0.9845320959010054,0.9659078472146219
A1_basin_edge_0,HIST1H1D,11.334023,1.2003071,8.901911393477071e-30,9.80322148253324e-28,0.5638051044083526,0.39671117434606545
A1_basin_edge_0,FAM30A,11.245905,1.7623272,2.42595700225395e-29,2.5096106919868448e-27,0.32405259087393656,0.14709423224253038
A1_basin_edge_0,TMEM14C,10.923447,1.4634025,8.905116376409454e-28,8.348546602883864e-26,0.36272235112142304,0.19771259713253803
A1_basin_edge_0,TFRC,10.760122,1.6813986,5.30996852317685e-27,4.827244111978955e-25,0.32018561484918795,0.15749151800372113
A1_basin_edge_0,CCT6A,10.724983,1.1457876,7.770135872988665e-27,6.856002240872352e-25,0.477184841453983,0.32267155521505964
A1_basin_edge_0,SPINK2,10.551684,1.5455025,4.989455117116019e-26,4.045504149012988e-24,0.35730858468677495,0.19087227755280728
A1_basin_edge_0,DUT,10.288008,1.1007153,7.98104460532961e-25,6.139265081022777e-23,0.5042536736272235,0.34655795118747945
A1_basin_edge_0,NUCB2,10.243819,1.0373316,1.261561423818303e-24,9.461710678637271e-23,0.5692188708430008,0.40694429243734265
A1_basin_edge_0,AKR1C3,10.117485,1.8224192,4.6213878530933834e-24,3.3815033071415e-22,0.26063418406805877,0.09363029440735471
A1_basin_edge_0,CAT,10.100549,1.1107174,5.4934036382756286e-24,3.923859741625449e-22,0.4733178654292343,0.31588595819196674
A1_basin_edge_0,RPL22L1,10.045277,1.0520794,9.637704555204711e-24,6.723979922235845e-22,0.4957463263727765,0.34639378351756595
A1_basin_edge_0,PCLAF,9.791834,1.3982157,1.2206195814344105e-22,8.137463876229403e-21,0.3348801237432328,0.17905220531903251
A1_basin_edge_0,UROD,9.759228,1.6308254,1.6843277733273509e-22,1.0984746347787072e-20,0.27610208816705334,0.11820072233774762
A1_basin_edge_0,GADD45GIP1,9.732247,1.1720994,2.1968533047101825e-22,1.4022467902405422e-20,0.3882443928847641,0.22988946043559155
A1_basin_edge_0,CPT1A,9.713441,1.1818807,2.642629706788799e-22,1.6516435667429992e-20,0.37896365042536734,0.21954689723103862
