state_id,library,term,p_value,adj_p_value,overlap,overlap_genes
A1_L1_8,Reactome_2022,Immune System R-HSA-168256,1.3643147756604996e-08,1.3643147756604996e-07,20/1943,"CD36,CD53,CST3,CYBB,FGL2,FLT3,HLA-DPA1,HLA-DQA1,HLA-DRA,HNRNPC,IRF4,IRF8,ITM2C,LY86,PLAC8,PYCARD,RPLP0,S100B,SAMHD1,TYROBP"
A1_L1_8,KEGG_2021_Human,Hematopoietic cell lineage,1.6817968781404225e-07,1.6817968781404224e-06,6/99,"CD36,FLT3,HLA-DPA1,HLA-DQA1,HLA-DRA,MS4A1"
A1_L1_8,MSigDB_Hallmark_2020,Allograft Rejection,6.248203367794541e-07,6.248203367794541e-06,7/200,"GZMB,HLA-DQA1,HLA-DRA,IGSF6,IRF4,IRF8,LY86"
A2_L1_3,Reactome_2022,Translocation Of ZAP-70 To Immunological Synapse R-HSA-202430,0.0008132914216516608,0.008132914216516608,2/17,"HLA-DPA1,HLA-DRA"
A2_L1_3,Reactome_2022,Phosphorylation Of CD3 And TCR Zeta Chains R-HSA-202427,0.001130784529299355,0.005653922646496775,2/20,"HLA-DPA1,HLA-DRA"
A2_L1_3,Reactome_2022,PD-1 Signaling R-HSA-389948,0.0012478204691569988,0.004159401563856663,2/21,"HLA-DPA1,HLA-DRA"
A3_L1_7,MSigDB_Hallmark_2020,heme Metabolism,4.320037594581411e-17,4.3200375945814114e-16,14/200,"AHSP,ANK1,BLVRB,CA1,CA2,GYPC,HBB,HBD,PRDX2,RHAG,SPTA1,TFRC,UBAC1,UROD"
A3_L1_7,Reactome_2022,Erythrocytes Take Up Oxygen And Release Carbon Dioxide R-HSA-1247673,5.109588742412596e-07,5.109588742412596e-06,3/7,"CA1,CA2,RHAG"
A3_L1_7,Reactome_2022,Erythrocytes Take Up Carbon Dioxide And Release Oxygen R-HSA-1237044,2.391873586115355e-06,1.1959367930576775e-05,3/11,"CA1,CA2,RHAG"
A1_L1_14,MSigDB_Hallmark_2020,Interferon Gamma Response,6.248203367794541e-07,4.373742357456179e-06,7/200,"BANK1,CD69,HLA-DQA1,IRF8,NFKBIA,PDE4B,SP110"
A1_L1_14,KEGG_2021_Human,Leishmaniasis,1.372124842454111e-06,1.372124842454111e-05,5/77,"CYBB,HLA-DPA1,HLA-DQA1,HLA-DRA,NFKBIA"
A1_L1_14,Reactome_2022,Interferon Gamma Signaling R-HSA-877300,2.818438680597449e-06,2.8184386805974488e-05,5/89,"CAMK2D,HLA-DPA1,HLA-DQA1,HLA-DRA,IRF8"
A1_L1_13,MSigDB_Hallmark_2020,heme Metabolism,4.131122289476002e-48,4.131122289476002e-47,30/200,"AHSP,ALAS2,ANK1,BLVRB,CA1,CA2,CPOX,FECH,GYPA,GYPB,GYPC,GYPE,HBB,HBBP1,HBD,HMBS,MINPP1,PRDX2,RHAG,RHD,SELENBP1,SLC25A37,SLC4A1,SNCA,SPTA1,SPTB,TAL1,TFRC,TRIM10,UROD"
A1_L1_13,Reactome_2022,Erythrocytes Take Up Oxygen And Release Carbon Dioxide R-HSA-1247673,1.6631022805406758e-12,1.6631022805406757e-11,5/7,"CA1,CA2,HBA1,RHAG,SLC4A1"
A1_L1_13,Reactome_2022,Erythrocytes Take Up Carbon Dioxide And Release Oxygen R-HSA-1237044,3.631455126614674e-11,1.8157275633073368e-10,5/11,"CA1,CA2,HBA1,RHAG,SLC4A1"
A1_L1_16,MSigDB_Hallmark_2020,G2-M Checkpoint,1.9895915876191265e-20,1.790632428857214e-19,16/200,"BIRC5,CCNA2,CENPE,CENPF,HMGN2,KIF11,KNL1,MKI67,NUSAP1,PTTG1,SMC2,SMC4,STMN1,TMPO,TOP2A,TPX2"
A1_L1_16,MSigDB_Hallmark_2020,E2F Targets,4.320037594581411e-17,1.944016917561635e-16,14/200,"ATAD2,BIRC5,CENPE,DUT,HMGB2,MKI67,PCNA,PTTG1,RRM2,SMC4,STMN1,TMPO,TOP2A,TUBB"
A1_L1_16,Reactome_2022,Cell Cycle R-HSA-1640170,1.6397370278365678e-13,1.6397370278365679e-12,17/654,"BIRC5,CCNA2,CENPE,CENPF,CLSPN,HSP90AA1,KNL1,PCNA,PTTG1,RRM2,SMC4,SYNE2,TMPO,TOP2A,TPX2,TUBA1B,TUBB"
A2_L1_4,MSigDB_Hallmark_2020,E2F Targets,1.9895915876191265e-20,1.9895915876191266e-19,16/200,"ATAD2,BRCA1,CKS1B,DUT,HELLS,HMGB2,MCM4,MCM6,MKI67,PAICS,PCNA,SMC4,STMN1,TMPO,TOP2A,TUBB"
A2_L1_4,Reactome_2022,Cell Cycle R-HSA-1640170,5.443966056225768e-16,5.4439660562257675e-15,19/654,"BRCA1,CDK6,CENPF,CENPU,CKS1B,CLSPN,DHFR,HSP90AA1,MCM4,MCM6,NPM1,PCNA,PRIM1,SMC4,TMPO,TOP2A,TUBA1B,TUBB,YWHAE"
A2_L1_4,MSigDB_Hallmark_2020,G2-M Checkpoint,6.246173157539348e-14,3.123086578769674e-13,12/200,"CENPF,CKS1B,HMGN2,MCM6,MKI67,NCL,NUSAP1,SMC2,SMC4,STMN1,TMPO,TOP2A"
A1_L1_15,MSigDB_Hallmark_2020,G2-M Checkpoint,5.7898813585951664e-11,5.789881358595166e-10,10/200,"BIRC5,CENPF,HMGN2,MKI67,NCL,PTTG1,SMC4,STMN1,TOP2A,TPX2"
