state_id,basin,n_cells_total,n_real,n_synth,augmentation_factor,top_vangalen_type,top_vangalen_frac,top_atlas_type,malignant_frac,n_patients,is_rare_state,top_atlas_frac,centroid_phi,centroid_score_norm,basin_depth,width_logdet,D_trace_mean,MFPT_to_mature_monocyte,MFPT_to_primitive_blast,committor_to_mature_monocyte,committor_to_primitive_blast,censored_frac,inherited_from_basin_mean,n_patients_longitudinal,persistence_log2_PR_median,persistence_frac_enriched,top10_overlap,spearman_top10,top5_markers,best_pathway_library,best_pathway_term,best_pathway_adj_p,best_pathway_overlap,lsc_subtype_dominant,lsc_subtype_phase_tag,reproduces,broad_reproduces,enrichment_sig,top_scoring_atlas_ct,enrichment_p,confidence_tier,logrank_p,logrank_q,HR_per_SD,HR_CI_low,HR_CI_high,cox_p,cox_q,delta_C_index,independent,top3_drugs,beataml_top_sensitizer,beataml_rho,beataml_q
A3_L1_7,A3,330,330,0,1.0,lateEry,0.679,Erythroid,0.003,16,False,0.509,-22.213,19.868,-12.293,-15.599,12.321,25.62,30.0,0.297,0.005,0.969,False,10.0,2.49225,0.9,10.0,1.0,"HBB,AHSP,HBD,CA1,HMGB1",MSigDB_Hallmark_2020,heme Metabolism,4.3200375945814114e-16,14/200,,,True,True,True,Erythroid,0.0,HIGH,0.847526792443646,0.8921299954962588,0.951,0.772,1.173,0.6411706834171669,0.9566288647243548,-0.0007,False,"Venetoclax,Artemisinin,SU11274",Ranolazine,-0.3346,0.1795866774938609
A1_L1_14,A1,313,313,0,1.0,B,0.847,B,0.01,18,False,0.633,-20.367,27.808,9.118,-7.356,12.583,17.05,30.0,0.263,0.002,0.754,False,9.0,-0.2439,0.333,10.0,0.952,"MS4A1,HLA-DRA,BANK1,BIRC3,RNA28S",MSigDB_Hallmark_2020,Interferon Gamma Response,4.373742357456179e-06,7/200,,,True,True,True,B,0.0,HIGH,0.6110234245983448,0.8266787509271725,1.049,0.834,1.32,0.6829856687101254,0.9719400717263436,-0.0059,False,"Metformin,BLZ945,BAX-channel-blocker",KN93,-0.2827,0.097771338432344
A1_L1_13,A1,311,311,0,1.0,lateEry,0.852,,0.013,15,False,0.695,-17.526,35.386,11.958,-50.47,14.9,17.59,30.0,0.361,0.019,0.963,False,11.0,0.1917,0.636,10.0,1.0,"HBB,HBA2,HBA1,HBD,AHSP",MSigDB_Hallmark_2020,heme Metabolism,4.131122289476002e-47,30/200,,,True,True,True,Erythroid,0.0,HIGH,0.4368432780972708,0.7442515108323873,0.87,0.698,1.084,0.2155247645805244,0.9566288647243548,0.0056,False,"BLZ945,NVP-AEW541,XMD 8-87",PH-797804,-0.2214,0.4603304558843898
A1_L1_16,A1,301,301,0,1.0,T,0.475,,0.02,14,False,0.85,-19.828,26.205,9.656,-10.718,14.46,16.96,30.0,0.3,0.001,0.926,False,9.0,2.6716,0.778,9.0,0.967,"HMGB2,MKI67,STMN1,HMGN2,HIST1H4C",MSigDB_Hallmark_2020,G2-M Checkpoint,1.7906324288572141e-19,16/200,,,False,True,True,ProB,0.0,HIGH,0.5921511655793505,0.8254228368681856,1.015,0.813,1.268,0.894608872448574,0.9719400717263436,-0.001,False,"Venetoclax,AT-101,GSK-2879552",Selumetinib (AZD6244),-0.2487,1.0596376119115613e-05
A2_L1_4,A2,290,290,0,1.0,Prog-like,0.355,HSPC,0.572,21,False,0.738,-21.541,20.702,-9.143,-39.327,12.093,21.08,30.0,0.354,0.001,0.918,False,11.0,-1.5006,0.273,10.0,0.927,"STMN1,TUBB,TUBA1B,DUT,HMGB1",MSigDB_Hallmark_2020,E2F Targets,1.9895915876191264e-19,16/200,,,False,False,True,ProB,0.0,MODERATE,0.4564291094701337,0.7498478227009339,1.088,0.868,1.364,0.4646135400517238,0.9566288647243548,0.0002,False,"Metformin,AT7519,Staurosporine",Venetoclax,-0.3071,5.016877880635888e-07
A1_L1_15,A1,275,275,0,1.0,Prog-like,0.32,HSPC,0.571,16,False,0.629,-20.743,27.419,8.741,-34.762,12.684,26.43,30.0,0.384,0.001,0.968,False,8.0,-1.4671,0.25,9.0,0.917,"CENPF,HMGB1,HMGN2,CALR,HSP90AA1",MSigDB_Hallmark_2020,G2-M Checkpoint,5.789881358595165e-10,10/200,,,False,False,True,ProB,0.0,MODERATE,0.7547904080821696,0.868008969294495,1.002,0.802,1.254,0.982955145284546,0.982955145284546,-0.0003,False,"PH-797804,Ralimetinib (LY2228820),Perhexiline maleate",XMD 8-87,-0.193,0.5374137219231389
A3_L1_4,A3,218,218,0,1.0,Prog-like,0.362,HSPC,0.587,16,False,0.72,-21.891,20.35,-11.972,-40.586,12.097,17.84,30.0,0.343,0.001,0.939,False,8.0,-0.6856,0.25,10.0,1.0,"STMN1,TUBB,TUBA1B,HIST1H4C,PCLAF",MSigDB_Hallmark_2020,E2F Targets,4.3200375945814114e-16,14/200,,,False,False,True,ProB,0.0,MODERATE,0.8533417348225084,0.8921299954962588,1.064,0.849,1.333,0.5899890945853542,0.9566288647243548,0.0008,False,"XMD 8-87,PH-797804,Ralimetinib (LY2228820)",Birinapant,-0.1065,0.6659963555921986
A3_L1_3,A3,197,197,0,1.0,HSC-like,0.234,HSPC,0.558,18,False,0.68,-22.526,22.347,-12.607,-48.846,11.967,13.7,30.0,0.36,0.0,0.905,False,11.0,-0.9156,0.364,9.0,0.983,"MALAT1,NEAT1,FLT3,CDK6,SOX4",KEGG_2021_Human,Graft-versus-host disease,0.0005252482551629,3/42,,,True,True,True,HSPC,0.0,HIGH,0.5815256575355732,0.8254228368681856,0.968,0.784,1.196,0.7630540667105888,0.9719400717263436,0.003,False,"Ralimetinib (LY2228820),PH-797804,Perhexiline maleate",GSK-2879552,-0.2987,0.0749249267430729
A1_L1_6,A1,196,196,0,1.0,GMP-like,0.173,HSPC,0.602,19,False,0.367,-19.585,28.101,9.899,-48.182,12.846,16.51,30.0,0.521,0.003,0.903,False,9.0,-0.3414,0.444,9.0,0.917,"SRGN,LYZ,HMGN2,FABP5,RNASE2",MSigDB_Hallmark_2020,E2F Targets,7.339925224521433e-09,9/200,,,False,True,True,ProMono,0.0,HIGH,0.3894917990480323,0.7442515108323873,1.058,0.858,1.304,0.6000912586936684,0.9566288647243548,0.0031,False,"Ranolazine,p38 MAP Kinase Inhibitor,SB-202190",Venetoclax,-0.2919,2.580437083840908e-06
A3_L1_10,A3,152,152,0,1.0,T,0.664,,0.046,16,False,0.487,-23.203,25.911,-13.284,-37.071,11.027,24.48,28.44,0.086,0.001,0.422,False,10.0,0.71385,0.7,10.0,0.952,"RNA28S,RNA18S,IL7R,SLFN5,GIMAP7",Reactome_2022,FCERI Mediated Ca+2 Mobilization R-HSA-2871809,0.0119092773077104,2/29,,,True,True,True,T,0.0,HIGH,0.6920897305822746,0.8489231376422243,0.927,0.749,1.146,0.4820655408124902,0.9566288647243548,0.0039,False,"PP2,LY294002,XMD 8-87",Venetoclax,-0.1443,0.0732950952437939
